卡牌ID,卡牌名（日文）,卡牌名（中文）,扩展标记,收藏编号,进化阶段/卡牌种类,规则,特殊分类,进化前,HP,属性,弱点,抵抗力,撤退费用,招式/特性名,费用,伤害,效果说明
929,ブーバー,鸭嘴火兽,MC,091/742,宝可梦/基础,无,无,无,80,火,水,无,2,、,火●,30,硬币1次掷正面的话，对手的战斗宝可梦【灼伤】。
930,ポカブ,暖暖猪,MC,109/742,宝可梦/基础,无,无,无,80,火,水,无,2,无,火,20,无
931,チャオブー,炒炒猪,MC,111/742,宝可梦/1阶进化,无,无,暖暖猪,110,火,水,无,3,火在,火火●,70,对手的战斗宝可梦【灼伤】。
932,メガエンブオーex,超级炎武王ex,MC,113/742,宝可梦/2阶进化,超级进化ex,无,炒炒猪,380,火,水,无,4,库利姆佐恩炸弹,火火●,320,这宝可梦也对60点伤害。
933,メラルバ,燃烧虫,MC,121/742,宝可梦/基础,无,无,无,70,火,水,无,2,撞击,●,10,无
933,メラルバ,燃烧虫,MC,121/742,宝可梦/基础,无,无,无,70,火,水,无,2,无,火●,20,无
934,マルヤクデ,焚焰蚣,MC,141/742,宝可梦/1阶进化,无,无,烧火蚣,130,火,水,无,2,也,火,130,自己的备战区宝可梦全員也对，各自30点伤害。［备战区弱点・抵抗力不计算。］
934,マルヤクデ,焚焰蚣,MC,141/742,宝可梦/1阶进化,无,无,烧火蚣,130,火,水,无,2,热爆破,●●●,80,无
935,ホゲータ,呆火鳄,MC,142/742,宝可梦/基础,无,无,无,80,火,水,无,2,在,火●,20,对手的战斗宝可梦【灼伤】。
936,アチゲータ,炙烫鳄,MC,143/742,宝可梦/1阶进化,无,无,呆火鳄,110,火,水,无,3,热吐息,火●,30,硬币1次掷正面的话，50点伤害追加。
937,ワニノコ,小锯鳄,MC,165/742,宝可梦/基础,无,无,无,80,水,雷,无,1,和,水水,40,这宝可梦也对10点伤害。
938,アリゲイツ,蓝鳄,MC,167/742,宝可梦/1阶进化,无,无,小锯鳄,100,水,雷,无,2,无,水水,50,硬币1次掷正面的话，对手的战斗宝可梦附有能量1个选择，弃牌区。
939,メガオーダイルex,超级大力鳄ex,MC,169/742,宝可梦/2阶进化,超级进化ex,无,蓝鳄,370,水,雷,无,3,基拉-库拉恩奇,水水●,200,对手的战斗宝可梦伤害指示物放置有的话，200点伤害追加。
940,オニゴーリ,冰鬼护,MC,187/742,宝可梦/1阶进化,无,无,雪童子,120,水,钢,无,2,伤害比-托,水,20×,对手的战斗宝可梦放置有伤害指示物的数×20点伤害。
940,オニゴーリ,冰鬼护,MC,187/742,宝可梦/1阶进化,无,无,雪童子,120,水,钢,无,2,库光线吉-赫兹,水●●,140,这宝可梦附有能量1个选择，弃牌区。
941,タマザラシ,海豹球,MC,188/742,宝可梦/基础,无,无,无,70,水,钢,无,2,无,水,10,对手的战斗宝可梦【睡眠】。
942,トドグラー,海魔狮,MC,189/742,宝可梦/1阶进化,无,无,海豹球,100,水,钢,无,3,无,水,30,无
942,トドグラー,海魔狮,MC,189/742,宝可梦/1阶进化,无,无,海豹球,100,水,钢,无,3,冰球,水水,60,无
943,トドゼルガ,帝牙海狮,MC,190/742,宝可梦/2阶进化,无,无,海魔狮,170,水,钢,无,3,和牙,水,60,下一个对手的次合，附有能量2个以下的宝可梦全員，招式不能使用。（新场上放出宝可梦也。）
943,トドゼルガ,帝牙海狮,MC,190/742,宝可梦/2阶进化,无,无,海魔狮,170,水,钢,无,3,超级托恩夫欧-鲁,水水,170,这宝可梦也对50点伤害。
944,レジアイスex,雷吉艾斯ex,MC,192/742,宝可梦/基础,ex,无,无,230,水,钢,无,3,雷吉蓄力,●,无,自己的弃牌区从「基本【水】能量」最多2张选择，这宝可梦附上。
944,レジアイスex,雷吉艾斯ex,MC,192/742,宝可梦/基础,ex,无,无,230,水,钢,无,3,冰普利兹恩,水●●●,140,这宝可梦附有能量2个弃牌区，对手的战斗宝可梦【麻痹】。
945,ケロマツ,呱呱泡蛙,MC,206/742,宝可梦/基础,无,无,无,60,水,雷,无,1,水,水●,20,无
946,ウッウ,古月鸟,MC,210/742,宝可梦/基础,无,无,无,110,水,雷,无,1,水枪,水,20,无
946,ウッウ,古月鸟,MC,210/742,宝可梦/基础,无,无,无,110,水,雷,无,1,斯皮托希尤-托,●●●,无,这宝可梦附有能量全部弃牌区，对手的宝可梦1只，120点伤害。［备战区弱点・抵抗力不计算。］
947,クワッス,润水鸭,MC,211/742,宝可梦/基础,无,无,无,60,水,雷,无,1,无,水,10,硬币1次掷正面的话，20点伤害追加。
948,ピカチュウ,皮卡丘,MC,225/742,宝可梦/基础,无,无,无,70,雷,斗,无,1,在拍打,雷,10,无
948,ピカチュウ,皮卡丘,MC,225/742,宝可梦/基础,无,无,无,70,雷,斗,无,1,小型博鲁托,雷●,30,无
949,ライチュウ,雷丘,MC,226/742,宝可梦/1阶进化,无,无,皮卡丘,130,雷,斗,无,1,库伊库阿塔库,雷,20,硬币1次掷正面的话，50点伤害追加。
949,ライチュウ,雷丘,MC,226/742,宝可梦/1阶进化,无,无,皮卡丘,130,雷,斗,无,1,斯托洛恩古博鲁托,雷雷●,150,这宝可梦附有【雷】能量1个选择，弃牌区。
950,コイル,小磁怪,MC,231/742,宝可梦/基础,无,无,无,60,雷,斗,无,1,皮卡利,雷,20,无
951,ビリリダマex,霹雳电球ex,MC,233/742,宝可梦/基础,ex,无,无,170,雷,斗,无,1,球,●●●,100,反面出最多掷硬币，正面的数×100点伤害追加。
952,サンダー,闪电鸟,MC,239/742,宝可梦/基础,无,无,无,110,雷,雷,斗,1,博鲁托,雷●,20,对手的战斗宝可梦放置有伤害指示物的数×10点伤害追加。
952,サンダー,闪电鸟,MC,239/742,宝可梦/基础,无,无,无,110,雷,雷,斗,1,多利鲁,雷●●,80,无
953,サンダー,闪电鸟,MC,240/742,宝可梦/基础,无,无,无,120,雷,雷,斗,2,在,雷,无,硬币1次掷正面的话，对手的战斗宝可梦【麻痹】。
953,サンダー,闪电鸟,MC,240/742,宝可梦/基础,无,无,无,120,雷,雷,斗,2,10博鲁托,雷雷●,190,这宝可梦附有能量，全部弃牌区。
954,レントラーex,伦琴猫ex,MC,246/742,宝可梦/2阶进化,ex,无,勒克猫,310,雷,斗,无,1,无,●●,120,对手的手牌查看，该其中从卡1张选择，弃牌区。
954,レントラーex,伦琴猫ex,MC,246/742,宝可梦/2阶进化,ex,无,勒克猫,310,雷,斗,无,1,博鲁托飞天螳螂,雷雷,250,这宝可梦附有能量，全部弃牌区。
955,エリキテル,伞电蜥,MC,260/742,宝可梦/基础,无,无,无,60,雷,斗,无,1,取来,●,无,自己的牌库1张抽牌。
955,エリキテル,伞电蜥,MC,260/742,宝可梦/基础,无,无,无,60,雷,斗,无,1,巴奇巴奇,雷,10,无
956,ゼラオラ,捷拉奥拉,MC,267/742,宝可梦/基础,无,无,无,120,雷,斗,无,1,科恩巴托闪电鸟,雷●,20,对手的备战区宝可梦的数×20点伤害追加。
957,ミライドンex,密勒顿ex,MC,284/742,宝可梦/基础,ex,太晶(雷),无,220,雷,斗,无,1,太晶,无,无,这宝可梦，备战区期间，招式的伤害不受。
957,ミライドンex,密勒顿ex,MC,284/742,宝可梦/基础,ex,太晶(雷),无,220,雷,斗,无,1,劈斩爪,雷,40,无
957,ミライドンex,密勒顿ex,MC,284/742,宝可梦/基础,ex,太晶(雷),无,220,雷,斗,无,1,哈多洛恩火花,雷雷●,120,对手的战斗宝可梦「宝可梦【ex】」的话，120点伤害追加。
958,ピクシー,皮可西,MC,286/742,宝可梦/1阶进化,无,无,皮皮,120,超,钢,无,2,无,●●,无,对手的战斗宝可梦带有招式1选择，这招式和使用。
958,ピクシー,皮可西,MC,286/742,宝可梦/1阶进化,无,无,皮皮,120,超,钢,无,2,魔法射击,超●●,100,无
959,トゲピー,波克比,MC,291/742,宝可梦/基础,无,无,无,50,超,钢,无,1,拍打,●●,30,无
960,トゲチック,波克基古,MC,292/742,宝可梦/1阶进化,无,无,波克比,90,超,钢,无,1,多光线恩基斯,●●,30,这宝可梦的HP「30」恢复。
961,マリル,玛力露,MC,295/742,宝可梦/基础,无,无,无,70,超,钢,无,1,无,●,无,硬币1次掷正面的话，下一个对手的次合，这宝可梦招式的伤害和效果不受。
961,マリル,玛力露,MC,295/742,宝可梦/基础,无,无,无,70,超,钢,无,1,跳跃乱撞,超●,20,无
962,マリルリex,玛力露丽ex,MC,297/742,宝可梦/1阶进化,ex,无,玛力露,270,超,钢,无,2,[特性]希亚博恩,无,无,自己的番何次在也可以使用。自己的场上的宝可梦附有能量1个选择，这宝可梦改附。
962,マリルリex,玛力露丽ex,MC,297/742,宝可梦/1阶进化,ex,无,玛力露,270,超,钢,无,2,艾纳吉-巴鲁-恩,●●●,60,这宝可梦附有【超】能量的数×40点伤害追加。
963,カゲボウズ,怨影娃娃,MC,307/742,宝可梦/基础,无,无,无,60,超,恶,斗,1,霍洛乌射击,超,20,无
964,オーベム,大宇怪,MC,327/742,宝可梦/1阶进化,无,无,小灰怪,100,超,恶,斗,1,科斯莫比-托,超,20×,自己的场上的宝可梦的数×20点伤害。
965,ペロッパフ,绵绵泡芙,MC,333/742,宝可梦/基础,无,无,无,60,超,钢,无,1,撞击,超,20,无
966,ペロリーム,胖甜妮,MC,334/742,宝可梦/1阶进化,无,无,绵绵泡芙,120,超,钢,无,2,撞击,超,40,无
966,ペロリーム,胖甜妮,MC,334/742,宝可梦/1阶进化,无,无,绵绵泡芙,120,超,钢,无,2,魔法射击,超●,70,无
967,パピモッチ,狗仔包,MC,347/742,宝可梦/基础,无,无,无,60,超,钢,无,2,无,●,无,自己的牌库从【基础】宝可梦1张选择，备战区放出。然后洗牌库。
967,パピモッチ,狗仔包,MC,347/742,宝可梦/基础,无,无,无,60,超,钢,无,2,踩踏,●,10,无
968,バウッツェルex,麻花犬ex,MC,348/742,宝可梦/1阶进化,ex,无,狗仔包,250,超,钢,无,2,[特性]塔伊姆,无,无,自己的番，从手牌将这张卡放出進化时，1次可以使用。自己的進化宝可梦全員的HP，全部恢复。之后，已恢复宝可梦附有能量，全部弃牌区。
968,バウッツェルex,麻花犬ex,MC,348/742,宝可梦/1阶进化,ex,无,狗仔包,250,超,钢,无,2,瓦恩达-希亚伊恩,●●,130,对手的战斗宝可梦【混乱】。
969,サケブシッポex,吼叫尾ex,MC,353/742,宝可梦/基础,ex,古代,无,190,超,恶,斗,1,无,●,无,这个招式，後攻玩家的最初的番可以使用。下一个对手的次合，对手手牌从支援者卡放出不能使用。
969,サケブシッポex,吼叫尾ex,MC,353/742,宝可梦/基础,ex,古代,无,190,超,恶,斗,1,无,超●●,120,对手的战斗宝可梦附有能量1个选择，弃牌区。
970,キチキギス,吉雉鸡,MC,359/742,宝可梦/基础,无,无,无,120,超,钢,无,1,[特性]阿多雷纳夫艾洛莫恩,无,无,这宝可梦【恶】能量附有的话，这宝可梦招式的伤害受到时，自己硬币1次掷。正面的话，这宝可梦该伤害不受。
970,キチキギス,吉雉鸡,MC,359/742,宝可梦/基础,无,无,无,120,超,钢,无,1,艾纳吉-羽毛,超,30×,这宝可梦附有能量的数×30点伤害。
971,テツノイワオ,铁磐岩,MC,360/742,宝可梦/基础,无,未来,无,140,超,恶,斗,3,阿吉亚斯托角,超●,170,自己的手牌和对手的手牌相同张数在的话，这个招式失败。
972,カポエラー,柯波朗,MC,367/742,宝可梦/基础,无,无,无,100,斗,超,无,1,旋转抽牌,●,无,自己的手牌全部牌库放次并洗切。之后，牌库6张抽牌。
972,カポエラー,柯波朗,MC,367/742,宝可梦/基础,无,无,无,100,斗,超,无,1,无,斗●,50,无
973,グラードン,固拉多,MC,375/742,宝可梦/基础,无,无,无,140,斗,草,无,3,猛撞,斗斗●,80,无
973,グラードン,固拉多,MC,375/742,宝可梦/基础,无,无,无,140,斗,草,无,3,超级托恩夫欧-鲁,斗斗●●,150,这宝可梦也对30点伤害。
974,リオル,利欧路,MC,379/742,宝可梦/基础,无,无,无,70,斗,超,无,1,拳,斗●,30,无
975,マッギョex,泥巴鱼ex,MC,394/742,宝可梦/基础,ex,无,无,210,斗,草,无,2,带有,斗,30,下一个对手的次合，这个招式受到宝可梦，不能撤退。
975,マッギョex,泥巴鱼ex,MC,394/742,宝可梦/基础,ex,无,无,210,斗,草,无,2,陷阱,斗●●,100,这宝可梦伤害指示物放置有的话，100点伤害追加。
976,メレシー,小碎钻,MC,400/742,宝可梦/基础,无,无,无,90,斗,草,无,1,[特性]达布鲁属性,无,无,这宝可梦，场上期间【斗】和【超】的2的属性。
976,メレシー,小碎钻,MC,400/742,宝可梦/基础,无,无,无,90,斗,草,无,1,卡乌恩塔-吉尤艾鲁,斗斗●,70,对手的奖赏卡的剩余张数2张以下的话，100点伤害追加。
977,マケンカニ,好胜蟹,MC,401/742,宝可梦/基础,无,无,无,90,斗,超,无,3,无,●●,20,无
977,マケンカニ,好胜蟹,MC,401/742,宝可梦/基础,无,无,无,90,斗,超,无,3,库拉布锤,●●●,50,无
978,ナゲツケサル,投掷猴,MC,407/742,宝可梦/基础,无,无,无,110,斗,超,无,1,斯洛-,斗●,20×,自己的场上的【基础】宝可梦的数×20点伤害。
979,コライドンex,故勒顿ex,MC,425/742,宝可梦/基础,ex,太晶(斗),无,230,斗,超,无,2,太晶,无,无,这宝可梦，备战区期间，招式的伤害不受。
979,コライドンex,故勒顿ex,MC,425/742,宝可梦/基础,ex,太晶(斗),无,230,斗,超,无,2,的基巴,斗●,50,上一个对手的次合，招式的伤害在，自己的宝可梦【昏厥】的话，120点伤害追加。
979,コライドンex,故勒顿ex,MC,425/742,宝可梦/基础,ex,太晶(斗),无,230,斗,超,无,2,冲击布洛-,斗斗●,200,下一个自己的次合，这宝可梦「冲击布洛-」不能使用。
980,フシデ,百足蜈蚣,MC,460/742,宝可梦/基础,无,无,无,80,恶,斗,无,3,其中毒,恶,无,对手的战斗宝可梦【其中毒】。
980,フシデ,百足蜈蚣,MC,460/742,宝可梦/基础,无,无,无,80,恶,斗,无,3,阿塔库,恶●●,40,无
981,ホイーガ,车轮球,MC,461/742,宝可梦/1阶进化,无,无,百足蜈蚣,100,恶,斗,无,3,毒萨-库鲁,恶,无,对手的战斗宝可梦【其中毒】。下一个对手的次合，这个招式受到宝可梦，不能撤退。
981,ホイーガ,车轮球,MC,461/742,宝可梦/1阶进化,无,无,百足蜈蚣,100,恶,斗,无,3,阿塔库,恶●●,60,无
982,ペンドラー,蜈蚣王,MC,462/742,宝可梦/2阶进化,无,无,车轮球,170,恶,斗,无,3,和,恶●,无,对手的战斗宝可梦的剩余HP「10」，伤害指示物放置。
982,ペンドラー,蜈蚣王,MC,462/742,宝可梦/2阶进化,无,无,车轮球,170,恶,斗,无,3,赫多洛,恶●●,160,无
983,バルチャイ,秃鹰小子,MC,474/742,宝可梦/基础,无,无,无,70,恶,雷,斗,1,无,●●,20,无
984,バルジーナex,秃鹰娜ex,MC,475/742,宝可梦/1阶进化,ex,无,秃鹰小子,260,恶,雷,斗,1,希尤-托,●●,无,对手的宝可梦1只，50点伤害。［备战区弱点・抵抗力不计算。］
984,バルジーナex,秃鹰娜ex,MC,475/742,宝可梦/1阶进化,ex,无,秃鹰小子,260,恶,雷,斗,1,巴鲁奇亚-爪,恶●●,160,对手的手牌从正面見在1张选择，弃牌区。
985,フーパ,胡帕,MC,482/742,宝可梦/基础,无,无,无,120,恶,草,无,2,无,●,无,自己的牌库2张抽牌。
985,フーパ,胡帕,MC,482/742,宝可梦/基础,无,无,无,120,恶,草,无,2,拳击冲击,恶恶●,130,下一个自己的次合，这宝可梦招式不能使用。
986,アラブルタケ,猛恶菇,MC,487/742,宝可梦/基础,无,古代,无,120,恶,草,无,3,其中毒和,恶,无,对手的战斗宝可梦【其中毒】。
986,アラブルタケ,猛恶菇,MC,487/742,宝可梦/基础,无,古代,无,120,恶,草,无,3,无,恶恶恶,50,对手的战斗宝可梦放置有伤害指示物的数×50点伤害追加。
987,クチート,大嘴娃,MC,495/742,宝可梦/基础,无,无,无,90,钢,火,草,1,呼唤伙伴,●,无,自己的牌库从【基础】宝可梦最多2张选择，备战区放出。然后洗牌库。
987,クチート,大嘴娃,MC,495/742,宝可梦/基础,无,无,无,90,钢,火,草,1,咬住,钢●●,90,无
988,レジスチルex,雷吉斯奇鲁ex,MC,499/742,宝可梦/基础,ex,无,无,230,钢,火,草,3,雷吉蓄力,●,无,自己的弃牌区从「基本【钢】能量」最多2张选择，这宝可梦附上。
988,レジスチルex,雷吉斯奇鲁ex,MC,499/742,宝可梦/基础,ex,无,无,230,钢,火,草,3,普洛特库托钢,钢●●●,140,下一个对手的次合，这宝可梦受到招式的伤害「-50」。
989,ドーミラー,铜镜怪,MC,500/742,宝可梦/基础,无,无,无,60,钢,火,草,1,护盾阿塔库,钢●,20,硬币1次掷正面的话，20点伤害追加。
990,トゲデマルex,托戈德玛尔ex,MC,514/742,宝可梦/基础,ex,无,无,190,钢,火,草,1,无,钢,20,硬币1次掷正面的话，对手的战斗宝可梦【麻痹】。
990,トゲデマルex,托戈德玛尔ex,MC,514/742,宝可梦/基础,ex,无,无,190,钢,火,草,1,托盖托盖洛-利恩古,钢●,80,前的自己的番，这宝可梦「托盖托盖洛-利恩古」使用过的话，80点伤害追加。
991,メルメタル,美录梅塔,MC,518/742,宝可梦/1阶进化,无,无,美录坦,160,钢,火,草,4,猛撞,钢钢●,120,无
991,メルメタル,美录梅塔,MC,518/742,宝可梦/1阶进化,无,无,美录坦,160,钢,火,草,4,铁巴希尤,钢钢钢钢●,230,无
992,ジュラルドン,铝钢龙,MC,523/742,宝可梦/基础,无,无,无,130,钢,火,草,2,无,钢钢,50,无
992,ジュラルドン,铝钢龙,MC,523/742,宝可梦/基础,无,无,无,130,钢,火,草,2,吉尤拉鲁光束,钢钢钢,130,这宝可梦附有能量2个选择，弃牌区。
993,ミミズズex,拖拖蚓ex,MC,533/742,宝可梦/基础,ex,无,无,220,钢,火,草,4,[特性]博科斯卡,无,无,这宝可梦，对手的宝可梦从招式的伤害受到时，这宝可梦附有【钢】能量的数×2个的伤害指示物，招式使用过宝可梦放置。
993,ミミズズex,拖拖蚓ex,MC,533/742,宝可梦/基础,ex,无,无,220,钢,火,草,4,无,●●●●,150,下一个对手的次合，这个招式受到宝可梦，不能撤退。
994,オノンド,斧牙龙,MC,542/742,宝可梦/1阶进化,无,无,牙牙,100,龙,无,无,2,[特性],无,无,这宝可梦，对手手牌从物品卡支援者卡放出使用过时，该效果不受。
994,オノンド,斧牙龙,MC,542/742,宝可梦/1阶进化,无,无,牙牙,100,龙,无,无,2,的,斗钢,80,自己的牌库从上方1张弃牌区。
995,オノノクス,双斧战龙,MC,543/742,宝可梦/2阶进化,无,无,斧牙龙,170,龙,无,无,2,阿库斯达乌恩,斗,无,对手的战斗宝可梦特殊能量卡附有的话，该宝可梦【昏厥】。
995,オノノクス,双斧战龙,MC,543/742,宝可梦/2阶进化,无,无,斧牙龙,170,龙,无,无,2,的,斗钢,230,自己的牌库从上方3张弃牌区。
996,アオキのノコッチ,青木的土龙弟弟,MC,576/742,宝可梦/基础,无,训练家的宝可梦（青木）,无,70,无,斗,无,无,无,●,10,硬币1次掷正面的话，20点伤害追加。
997,アオキのノココッチex,青木的土龙节节ex,MC,577/742,宝可梦/1阶进化,ex,训练家的宝可梦（青木）,青木的土龙弟弟,270,无,斗,无,3,和猛攻,●●●,80×,这宝可梦附有能量的数份掷硬币，正面的数×80点伤害。
998,ナマケロ,懒人翁,MC,581/742,宝可梦/基础,无,无,无,60,无,斗,无,2,的,●,无,这宝可梦的HP「60」恢复。下一个自己的次合，这宝可梦不能撤退。
999,ヤルキモノ,过动猿,MC,582/742,宝可梦/1阶进化,无,无,懒人翁,90,无,斗,无,2,劈斩爪,●●,50,无
1000,エネコ,向尾喵,MC,585/742,宝可梦/基础,无,无,无,60,无,斗,无,1,踢,●,20,无
1001,エネコロロ,优雅猫,MC,586/742,宝可梦/1阶进化,无,无,向尾喵,100,无,斗,无,1,踢,●,40,无
1001,エネコロロ,优雅猫,MC,586/742,宝可梦/1阶进化,无,无,向尾喵,100,无,斗,无,1,艾纳吉-粉碎,●●,40×,对手的宝可梦全員附有能量的数×40点伤害。
1002,ザングースex,猫鼬斩ex,MC,588/742,宝可梦/基础,ex,无,无,200,无,斗,无,1,尖刺抽牌,●,20,自己的牌库2张抽牌。
1002,ザングースex,猫鼬斩ex,MC,588/742,宝可梦/基础,ex,无,无,200,无,斗,无,1,瓦伊鲁多希扎-,●●●,180,这宝可梦也对30点伤害。
1003,アオキのムックル,青木的姆克儿,MC,590/742,宝可梦/基础,无,训练家的宝可梦（青木）,无,60,无,雷,斗,1,无,●,无,自己的牌库从基本能量卡最多2张选择，给对手查看，加入手牌。然后洗牌库。
1003,アオキのムックル,青木的姆克儿,MC,590/742,宝可梦/基础,无,训练家的宝可梦（青木）,无,60,无,雷,斗,1,无,●,10,无
1004,アオキのムクバード,青木的姆克鸟,MC,591/742,宝可梦/1阶进化,无,训练家的宝可梦（青木）,青木的姆克儿,90,无,雷,斗,1,无,●,20,无
1004,アオキのムクバード,青木的姆克鸟,MC,591/742,宝可梦/1阶进化,无,训练家的宝可梦（青木）,青木的姆克儿,90,无,雷,斗,1,无,●●,50,无
1005,アオキのムクホーク,青木的姆克鹰,MC,592/742,宝可梦/2阶进化,无,训练家的宝可梦（青木）,青木的姆克鸟,150,无,雷,斗,1,从,●,60,这宝可梦【其中毒】【灼伤】的话，100点伤害追加。
1005,アオキのムクホーク,青木的姆克鹰,MC,592/742,宝可梦/2阶进化,无,训练家的宝可梦（青木）,青木的姆克鸟,150,无,雷,斗,1,羽毛飞天螳螂,●●●,150,这宝可梦附有能量2个弃牌区，对手的备战区宝可梦1只也对，50点伤害。［备战区弱点・抵抗力不计算。］
1006,メガタブンネex,超级差不多娃娃ex,MC,602/742,宝可梦/基础,超级进化ex,无,无,270,无,斗,无,1,卡光线多瓦鲁兹,●,无,硬币3次掷，正面的数×2张最多，自己的牌库从基本能量卡选择，自己的宝可梦以任意方式附上。然后洗牌库。
1006,メガタブンネex,超级差不多娃娃ex,MC,602/742,宝可梦/基础,超级进化ex,无,无,270,无,斗,无,1,伊亚-力量,●●●,20,对手的战斗宝可梦附有能量的数×80点伤害追加。
1007,アオキのワシボン,青木的毛头小鹰,MC,608/742,宝可梦/基础,无,训练家的宝可梦（青木）,无,70,无,雷,斗,1,啄,●●,20,对手的战斗宝可梦伤害指示物放置有的话，80点伤害追加。
1008,アオキのウォーグル,青木的勇士鹰,MC,609/742,宝可梦/1阶进化,无,训练家的宝可梦（青木）,青木的毛头小鹰,130,无,雷,斗,1,无,●●,50,下一个对手的次合，这个招式受到宝可梦，不能撤退。
1008,アオキのウォーグル,青木的勇士鹰,MC,609/742,宝可梦/1阶进化,无,训练家的宝可梦（青木）,青木的毛头小鹰,130,无,雷,斗,1,勇猛巴-多,●●●,120,这宝可梦也对30点伤害。
1009,アオキのネッコアラ,青木的树枕尾熊,MC,619/742,宝可梦/基础,无,训练家的宝可梦（青木）,无,90,无,斗,无,2,[特性]蓄力,无,无,这宝可梦备战区的话，自己的番1次可以使用。自己的手牌从能量1张选择，战斗场的「青木的宝可梦」附上。
1009,アオキのネッコアラ,青木的树枕尾熊,MC,619/742,宝可梦/基础,无,训练家的宝可梦（青木）,无,90,无,斗,无,2,睡眠抽牌,●,无,这宝可梦【睡眠】。自己的牌库2张抽牌。
1010,ジジーロン,老翁龙,MC,621/742,宝可梦/基础,无,无,无,130,无,斗,无,2,拍击,●●,50,无
1010,ジジーロン,老翁龙,MC,621/742,宝可梦/基础,无,无,无,130,无,斗,无,2,龙飞天螳螂,●●●,120,下一个自己的次合，这宝可梦「龙飞天螳螂」不能使用。
1011,イトマル,线球,M3,001/080,宝可梦/基础,无,无,无,60,草,火,无,1,和,草,10,下一个对手的次合，这个招式受到宝可梦，不能撤退。
1012,アリアドス,阿利多斯,M3,002/080,宝可梦/1阶进化,无,无,线球,110,草,火,无,1,毒萨-库鲁,草,50,对手的战斗宝可梦【其中毒】。下一个对手的次合，这个招式受到宝可梦，不能撤退。
1013,シェイミ,谢米,M3,003/080,宝可梦/基础,无,无,无,70,草,火,无,无,和踢,草,无,自己的牌库从能量1张选择，备战区的【草】宝可梦附上。然后洗牌库。
1013,シェイミ,谢米,M3,003/080,宝可梦/基础,无,无,无,70,草,火,无,无,叶斯特普,草,30,无
1014,ツタージャ,藤藤蛇,M3,004/080,宝可梦/基础,无,无,无,70,草,火,无,1,突击,草,30,这宝可梦也对10点伤害。
1015,ジャノビー,青藤蛇,M3,005/080,宝可梦/1阶进化,无,无,藤藤蛇,100,草,火,无,1,索-拉-切割,草,40,无
1016,ジャローダ,君主蛇,M3,006/080,宝可梦/2阶进化,无,无,青藤蛇,160,草,火,无,2,洛伊亚鲁科玛恩多,草,20×,自己的场上的宝可梦的数×20点伤害。
1016,ジャローダ,君主蛇,M3,006/080,宝可梦/2阶进化,无,无,青藤蛇,160,草,火,无,2,索-拉-瓦伊恩达-,草草草,100,自己的弃牌区「鸣依的鼓励」的话，150点伤害追加。
1017,コフキムシ,粉蛹,M3,007/080,宝可梦/基础,无,无,无,40,草,火,无,1,啃咬,草,20,无
1018,コフーライ,粉蝶蛹,M3,008/080,宝可梦/1阶进化,无,无,粉蛹,80,草,火,无,3,无,草,无,硬币1次掷正面的话，下一个对手的次合，这宝可梦招式的伤害和效果不受。
1019,ビビヨン,碧粉蝶,M3,009/080,宝可梦/2阶进化,无,无,粉蝶蛹,120,草,火,无,1,[特性],无,无,自己的番1次可以使用。对手对手自身的手牌全部反面切，牌库的下方放次。之后，对手牌库4张抽牌。
1019,ビビヨン,碧粉蝶,M3,009/080,宝可梦/2阶进化,无,无,粉蝶蛹,120,草,火,无,1,踢,草,60,场上竞技场卡出的话，60点伤害追加。
1020,モクロー,木木枭,M3,010/080,宝可梦/基础,无,无,无,80,草,火,无,2,和也,草,无,自己的牌库从宝可梦1张选择，给对手查看，加入手牌。然后洗牌库。
1020,モクロー,木木枭,M3,010/080,宝可梦/基础,无,无,无,80,草,火,无,2,撞击,●●●,30,无
1021,フクスロー,投羽枭,M3,011/080,宝可梦/1阶进化,无,无,木木枭,100,草,火,无,2,这,草,20,无
1021,フクスロー,投羽枭,M3,011/080,宝可梦/1阶进化,无,无,木木枭,100,草,火,无,2,羽毛射击,●●●,无,这宝可梦附有能量全部弃牌区，对手的宝可梦1只，90点伤害。［备战区弱点・抵抗力不计算。］
1022,ジュナイパーex,狙射树枭ex,M3,012/080,宝可梦/2阶进化,ex,无,投羽枭,320,草,火,无,2,[特性]斯纳伊帕-阿伊,无,无,对手的手牌4张的话，这宝可梦使用招式所需的【无】能量，全部消失。
1022,ジュナイパーex,狙射树枭ex,M3,012/080,宝可梦/2阶进化,ex,无,投羽枭,320,草,火,无,2,粉碎箭,草●●●,240,对手的战斗宝可梦附有能量1个选择，弃牌区。
1023,ヒノヤコマ,火箭雀,M3,013/080,宝可梦/1阶进化,无,无,小箭雀,90,火,雷,斗,1,火,火火,60,无
1024,ファイアロー,烈箭鹟,M3,014/080,宝可梦/2阶进化,无,无,火箭雀,150,火,雷,斗,1,[特性]斯卡伊狩猎,无,无,自己的番1次可以使用。硬币1次掷正面的话，对手的手牌从正面見在1张选择，弃牌区。
1024,ファイアロー,烈箭鹟,M3,014/080,宝可梦/2阶进化,无,无,火箭雀,150,火,雷,斗,1,火的,火火,110,无
1025,ヤトウモリ,夜盗火蜥,M3,015/080,宝可梦/基础,无,无,无,70,火,水,无,1,火的兹梅,火,20,无
